"nsub" "bloque" "altura" "condicion" "trial" "distancia" "respuesta" "condicion_posicion" "condicion_sonido"
5 5 1 2 4 6 3 "CABEZA" "ROVED"
5 5 1 2 1 2 2 "CABEZA" "ROVED"
5 5 1 2 4 6 2.5 "CABEZA" "ROVED"
5 5 1 2 2 2.9 2 "CABEZA" "ROVED"
5 5 1 2 3 4.2 2 "CABEZA" "ROVED"
5 5 1 2 2 2.9 2 "CABEZA" "ROVED"
5 5 1 2 3 4.2 3 "CABEZA" "ROVED"
5 5 1 2 1 2 1.5 "CABEZA" "ROVED"
5 5 1 2 4 6 3 "CABEZA" "ROVED"
5 5 1 2 4 6 3 "CABEZA" "ROVED"
5 0 0 0 1 2 0.5 "PISO" "NORMAL"
5 0 0 0 4 6 2 "PISO" "NORMAL"
5 0 0 0 2 2.9 1.5 "PISO" "NORMAL"
5 0 0 0 1 2 1 "PISO" "NORMAL"
5 0 0 0 3 4.2 2.5 "PISO" "NORMAL"
5 0 0 0 3 4.2 3 "PISO" "NORMAL"
5 0 0 0 4 6 2 "PISO" "NORMAL"
5 0 0 0 4 6 2 "PISO" "NORMAL"
5 0 0 0 1 2 1 "PISO" "NORMAL"
5 0 0 0 1 2 1.5 "PISO" "NORMAL"
5 0 0 0 1 2 2 "PISO" "NORMAL"
5 0 0 0 3 4.2 2 "PISO" "NORMAL"
5 0 0 0 2 2.9 2.5 "PISO" "NORMAL"
5 0 0 0 3 4.2 3 "PISO" "NORMAL"
5 0 0 0 1 2 1 "PISO" "NORMAL"
5 0 0 0 2 2.9 2 "PISO" "NORMAL"
5 0 0 0 2 2.9 2 "PISO" "NORMAL"
5 0 0 0 3 4.2 2.5 "PISO" "NORMAL"
5 0 0 0 2 2.9 1.5 "PISO" "NORMAL"
5 0 0 0 4 6 2 "PISO" "NORMAL"
5 2 0 2 3 4.2 2.5 "PISO" "ROVED"
5 2 0 2 3 4.2 2 "PISO" "ROVED"
5 2 0 2 2 2.9 1.5 "PISO" "ROVED"
5 2 0 2 2 2.9 2 "PISO" "ROVED"
5 2 0 2 1 2 1 "PISO" "ROVED"
5 2 0 2 1 2 1.5 "PISO" "ROVED"
5 2 0 2 1 2 1 "PISO" "ROVED"
5 2 0 2 3 4.2 3 "PISO" "ROVED"
5 2 0 2 1 2 1.5 "PISO" "ROVED"
5 2 0 2 3 4.2 2 "PISO" "ROVED"
5 2 0 2 3 4.2 2.5 "PISO" "ROVED"
5 2 0 2 2 2.9 2 "PISO" "ROVED"
5 2 0 2 4 6 2.5 "PISO" "ROVED"
5 2 0 2 2 2.9 2 "PISO" "ROVED"
5 2 0 2 4 6 2.5 "PISO" "ROVED"
5 2 0 2 1 2 1 "PISO" "ROVED"
5 2 0 2 2 2.9 2 "PISO" "ROVED"
5 2 0 2 4 6 3 "PISO" "ROVED"
5 2 0 2 3 4.2 3 "PISO" "ROVED"
5 2 0 2 4 6 2.5 "PISO" "ROVED"
6 3 1 0 1 2 1 "CABEZA" "NORMAL"
6 3 1 0 2 2.9 1 "CABEZA" "NORMAL"
6 3 1 0 1 2 2 "CABEZA" "NORMAL"
6 3 1 0 3 4.2 1 "CABEZA" "NORMAL"
6 3 1 0 3 4.2 1 "CABEZA" "NORMAL"
6 3 1 0 1 2 2 "CABEZA" "NORMAL"
6 3 1 0 3 4.2 2 "CABEZA" "NORMAL"
6 3 1 0 3 4.2 1 "CABEZA" "NORMAL"
6 3 1 0 2 2.9 1 "CABEZA" "NORMAL"
6 3 1 0 4 6 2 "CABEZA" "NORMAL"
6 3 1 0 4 6 2 "CABEZA" "NORMAL"
6 3 1 0 1 2 1 "CABEZA" "NORMAL"
6 3 1 0 1 2 1 "CABEZA" "NORMAL"
6 3 1 0 2 2.9 2 "CABEZA" "NORMAL"
6 3 1 0 4 6 3 "CABEZA" "NORMAL"
6 3 1 0 3 4.2 2 "CABEZA" "NORMAL"
6 3 1 0 2 2.9 1 "CABEZA" "NORMAL"
6 3 1 0 4 6 2 "CABEZA" "NORMAL"
6 3 1 0 4 6 2 "CABEZA" "NORMAL"
6 3 1 0 2 2.9 1 "CABEZA" "NORMAL"
6 5 1 2 3 4.2 1 "CABEZA" "ROVED"
6 5 1 2 2 2.9 3 "CABEZA" "ROVED"
6 5 1 2 4 6 1 "CABEZA" "ROVED"
6 5 1 2 4 6 2 "CABEZA" "ROVED"
6 5 1 2 4 6 2 "CABEZA" "ROVED"
6 5 1 2 3 4.2 1 "CABEZA" "ROVED"
6 5 1 2 3 4.2 3 "CABEZA" "ROVED"
6 5 1 2 4 6 3 "CABEZA" "ROVED"
6 5 1 2 3 4.2 1 "CABEZA" "ROVED"
6 5 1 2 1 2 3 "CABEZA" "ROVED"
6 5 1 2 3 4.2 3 "CABEZA" "ROVED"
6 5 1 2 3 4.2 2 "CABEZA" "ROVED"
6 5 1 2 1 2 1 "CABEZA" "ROVED"
6 5 1 2 2 2.9 1 "CABEZA" "ROVED"
6 5 1 2 2 2.9 1 "CABEZA" "ROVED"
6 5 1 2 1 2 2 "CABEZA" "ROVED"
6 5 1 2 2 2.9 3 "CABEZA" "ROVED"
6 5 1 2 1 2 3 "CABEZA" "ROVED"
6 5 1 2 4 6 3 "CABEZA" "ROVED"
6 5 1 2 2 2.9 3 "CABEZA" "ROVED"
6 0 0 0 2 2.9 1 "PISO" "NORMAL"
6 0 0 0 3 4.2 2 "PISO" "NORMAL"
6 0 0 0 3 4.2 2.3 "PISO" "NORMAL"
6 0 0 0 3 4.2 3 "PISO" "NORMAL"
6 0 0 0 2 2.9 3 "PISO" "NORMAL"
6 0 0 0 3 4.2 3.5 "PISO" "NORMAL"
6 0 0 0 1 2 1 "PISO" "NORMAL"
6 0 0 0 4 6 3 "PISO" "NORMAL"
6 0 0 0 2 2.9 2 "PISO" "NORMAL"
6 0 0 0 1 2 1 "PISO" "NORMAL"
6 0 0 0 2 2.9 2 "PISO" "NORMAL"
6 0 0 0 2 2.9 2 "PISO" "NORMAL"
6 0 0 0 4 6 3 "PISO" "NORMAL"
6 0 0 0 2 2.9 2 "PISO" "NORMAL"
6 0 0 0 1 2 1 "PISO" "NORMAL"
6 0 0 0 4 6 3 "PISO" "NORMAL"
6 0 0 0 1 2 1 "PISO" "NORMAL"
6 0 0 0 4 6 3 "PISO" "NORMAL"
6 0 0 0 4 6 3.5 "PISO" "NORMAL"
6 0 0 0 3 4.2 2 "PISO" "NORMAL"
6 2 0 2 4 6 3 "PISO" "ROVED"
6 2 0 2 3 4.2 3 "PISO" "ROVED"
6 2 0 2 2 2.9 3 "PISO" "ROVED"
6 2 0 2 4 6 2 "PISO" "ROVED"
6 2 0 2 2 2.9 2 "PISO" "ROVED"
6 2 0 2 4 6 3 "PISO" "ROVED"
6 2 0 2 4 6 3 "PISO" "ROVED"
6 2 0 2 2 2.9 2 "PISO" "ROVED"
