subject,block,condition,target_distance,type,location,perc_dist_sd,perc_dist_sem,perc_dist_var,perc_dist_n,perc_dist,rel_bias_signed_sd,rel_bias_signed_sem,rel_bias_signed_var,rel_bias_signed_n,rel_bias_signed,rel_bias_unsigned_sd,rel_bias_unsigned_sem,rel_bias_unsigned_var,rel_bias_unsigned_n,rel_bias_unsigned,abs_bias_sd,abs_bias_sem,abs_bias_var,abs_bias_n
T011,5,Ear level,4.2,ROVED,sitting,0.27386127875258304,0.12247448713915889,0.075,5,1.8,0.06520506636966264,0.029160592175990218,0.00425170068027211,5,-0.5714285714285715,0.06520506636966264,0.029160592175990218,0.00425170068027211,5,0.5714285714285715,0.27386127875258304,0.12247448713915889,0.075,5
T012,5,Ear level,4.2,ROVED,sitting,0.5,0.25,0.25,4,2.75,0.11904761904761904,0.05952380952380952,0.014172335600907028,4,-0.3452380952380953,0.11904761904761904,0.05952380952380952,0.014172335600907028,4,0.3452380952380953,0.5,0.25,0.25,4
T013,5,Ear level,4.2,ROVED,sitting,0.569982455870354,0.25490390346167713,0.32488,5,1.276,0.13571010854056045,0.060691405586113585,0.018417233560090698,5,-0.6961904761904762,0.13571010854056045,0.060691405586113585,0.018417233560090698,5,0.6961904761904762,0.569982455870354,0.25490390346167713,0.32488,5
T001,2,Floor level,4.2,ROVED,sitting,0.408248290463863,0.16666666666666669,0.16666666666666666,6,1.1666666666666667,0.09720197391996736,0.03968253968253968,0.009448223733938015,6,-0.7222222222222222,0.09720197391996736,0.03968253968253968,0.009448223733938015,6,0.7222222222222222,0.408248290463863,0.16666666666666669,0.16666666666666666,6
T002,2,Floor level,4.2,ROVED,sitting,0.4183300132670378,0.18708286933869706,0.175,5,1.9,0.09960238411119948,0.044543540318737404,0.009920634920634924,5,-0.5476190476190477,0.09960238411119948,0.044543540318737404,0.009920634920634924,5,0.5476190476190477,0.4183300132670378,0.18708286933869706,0.175,5
T003,2,Floor level,4.2,ROVED,sitting,0.44721359549995793,0.19999999999999998,0.2,5,3.3,0.10647942749998998,0.047619047619047616,0.011337868480725623,5,-0.21428571428571433,0.10647942749998998,0.047619047619047616,0.011337868480725623,5,0.21428571428571433,0.44721359549995793,0.19999999999999998,0.2,5
T004,2,Floor level,4.2,ROVED,sitting,1.3768926368215255,0.6884463184107628,1.8958333333333333,4,2.375,0.32783158019560127,0.16391579009780063,0.10747354497354496,4,-0.43452380952380953,0.32783158019560127,0.16391579009780063,0.10747354497354496,4,0.43452380952380953,1.3768926368215255,0.6884463184107628,1.8958333333333333,4
T007,2,Floor level,4.2,ROVED,sitting,0.44721359549995793,0.19999999999999998,0.2,5,2.2,0.10647942749998998,0.047619047619047616,0.011337868480725622,5,-0.4761904761904762,0.10647942749998998,0.047619047619047616,0.011337868480725622,5,0.4761904761904762,0.44721359549995793,0.19999999999999998,0.2,5
T008,2,Floor level,4.2,ROVED,sitting,0.408248290463863,0.2041241452319315,0.16666666666666666,4,2,0.0972019739199674,0.0486009869599837,0.009448223733938024,4,-0.5238095238095238,0.0972019739199674,0.0486009869599837,0.009448223733938024,4,0.5238095238095238,0.408248290463863,0.2041241452319315,0.16666666666666666,4
T009,2,Floor level,4.2,ROVED,sitting,0.8366600265340756,0.34156502553198664,0.7,6,1.5,0.1992047682223989,0.08132500607904443,0.039682539682539666,6,-0.6428571428571428,0.1992047682223989,0.08132500607904443,0.039682539682539666,6,0.6428571428571428,0.8366600265340756,0.34156502553198664,0.7,6
